BEGIN;
BEGIN
select
	ps_partkey,
	sum(ps_supplycost * ps_availqty) as value
from
	partsupp,
	supplier,
	nation
where
	ps_suppkey = s_suppkey
	and s_nationkey = n_nationkey
	and n_name = 'PERU'
group by
	ps_partkey having
		sum(ps_supplycost * ps_availqty) > (
			select
				sum(ps_supplycost * ps_availqty) * 0.0000010000
			from
				partsupp,
				supplier,
				nation
			where
				ps_suppkey = s_suppkey
				and s_nationkey = n_nationkey
				and n_name = 'PERU'
		)
order by
	value desc;
 ps_partkey |      value       
------------+------------------
   17949915 | 25336104.0834351
    4845557 | 23598988.6798096
    2277007 | 23014733.5570068
   16352409 | 22751226.2133179
     210385 | 22221140.0786133
   15345222 | 21827347.9838257
   10580031 | 21564055.3857422
    9829356 | 20968574.6685181
   18665274 | 20765957.5496216
   13822630 |   20704887.43927
    4308141 | 20338714.6528931
   10570666 | 20262058.2307129
   14428610 |  20115987.085083
    9565231 | 19998849.1572266
    5145987 | 19972880.8159485
    7581130 | 19856955.6811523
   10220866 | 19737033.1459351
    6054349 | 19698466.0098267
   11940093 |  19538953.411377
    9730886 | 19300677.8959961
    7575267 | 19180453.3344727
   15853067 | 19062512.6095276
   16741181 | 19059162.5144043
   10025497 | 18941928.1439819
   18652615 | 18919978.4255371
   13071968 | 18816703.2467041
   11575596 | 18665441.1525269
   12633585 |  18639655.121521
   16080591 | 18609314.1097412
    3191136 | 18603692.3433838
    8650284 | 18508969.0952148
   19769827 |  18503170.776123
   19157173 | 18502721.2772217
   16542338 | 18492915.2578125
    9990014 | 18485897.2616043
   10718953 | 18432461.6744385
    4939142 | 18420636.4003906
    9717963 | 18408904.1040649
    8123027 |  18329022.552063
    4675723 | 18319695.4561768
    2420720 | 18294369.2112427
    4472772 |  18286223.741272
   12197393 | 18266786.7786865
   10817374 | 18173749.7254028
    6990890 | 18169679.1552124
   14673820 | 18153281.2172852
     350141 | 18142528.3061523
   14461193 | 18139221.4290161
   12205935 | 18057353.6967163
   16997278 | 17997565.8935547
   18832624 | 17990401.0964355
   11670929 | 17985215.2046509
   14259082 | 17967683.8447266
    6032809 | 17956120.3664551
   13150439 | 17947876.1361694
   16743580 | 17946116.2361603
   10586133 | 17897243.3726807
   19496412 | 17878939.3527222
    2280183 | 17863930.6757202
    7497421 | 17858239.5155029
    8481998 | 17821564.4761963
   17966234 | 17814002.3797607
    6558668 | 17811586.8706055
   18308102 | 17807128.2243652
   11577486 | 17802720.7871094
   16831919 | 17800543.3222351
   14184144 | 17797841.5695648
    2965631 | 17791932.9646606
   18206654 | 17781391.9547119
   14746575 | 17772211.8251953
   10470001 | 17769431.0802002
   10320817 | 17725785.7370605
    9923760 | 17695026.0107422
    4980421 | 17683717.0111084
   10121649 | 17662992.0848999
    5819967 | 17630419.9181519
   12976813 |  17629762.770752
   17870147 | 17573844.2471924
    9482549 | 17569433.2950439
   16142127 | 17567713.6821899
   14867285 | 17552303.9589844
   19049109 | 17487127.0717773
   18170754 | 17486192.4133301
    9017611 | 17484205.9932861
   11370415 | 17472518.1379395
   14836192 | 17441542.2277222
   13931049 | 17441163.6654968
    8097589 |  17428143.553833
    1477960 | 17426020.3997803
   16279296 | 17404766.4158325
    9562359 | 17389750.9442139
    3161574 | 17362441.4889526
    2587541 | 17358959.3983154
   12138950 | 17344728.3528442
    5420156 | 17337058.9356079
    2585081 | 17336419.9244385
   15139779 | 17334912.5093994
    9992873 | 17315662.7680969
     780107 | 17315229.9041748
    7677929 | 17311703.5153809
   15871362 | 17307587.9503784
   19183717 | 17305576.9753418
    5940929 | 17300021.9222412
    3544218 | 17284601.0258179
    2168534 | 17268906.2996826
   15800840 | 17260530.7429199
    7586648 | 17256878.5074463
    8113129 | 17232794.3793945
    4326400 | 17221853.5253906
   11001588 | 17219655.3502197
   14302616 | 17217120.4587402
     252018 | 17205330.3592529
    4002960 |  17193429.964859
    6174895 | 17179050.6260376
   13231333 |  17173752.088623
    6911319 | 17163861.2545776
    2655379 | 17161851.5512085
    3993342 | 17160162.9781494
    4038010 | 17159549.8660889
    6345391 | 17152653.4084473
   14781339 | 17147445.9035645
      89291 | 17146598.7653656
   14716292 | 17135658.1566162
   10831911 | 17127097.0514526
   15416783 | 17125398.5683594
    6596469 | 17117232.5547485
   11154083 | 17103468.7211304
    5239613 | 17094601.5368042
    5762438 | 17085291.1387939
     555972 | 17067325.7796631
   19118571 | 17064142.3624878
    5443434 | 17056025.0828857
    5196723 | 17053510.1259766
    3945496 | 17052867.8712158
    9507167 | 17049223.3876953
    5866993 | 17045423.8340454
    2903718 | 17036862.5031738
    4675019 | 17036342.0187378
   13379408 | 17031810.1959229
   14422087 | 17029583.8425903
    8871339 | 17015390.4541016
    9904412 |  16995333.789978
   13338247 | 16985555.4541016
    4230070 | 16949541.3800049
    6919960 | 16948367.2163696
   15667349 | 16939063.1887207
   19407999 | 16934982.4661865
   14347029 | 16934486.2605591
   17396779 | 16930651.7216797
    1278016 | 16928536.8739624
   17232230 | 16912018.1298828
   11755397 | 16911773.4680786
   13364123 | 16910218.1635132
    9421303 | 16906980.6351318
   16784694 | 16906880.7255859
   15751761 |  16906035.156311
    1768384 | 16894499.7064819
   17480732 | 16894344.5696411
   14388499 | 16880751.2790527
    2678712 | 16874525.5045319
    9372673 | 16865427.3330688
   18146091 | 16862145.7888794
    3349016 | 16860925.4968262
   15235788 | 16860672.0005493
    6929392 | 16830265.8913574
    4109939 | 16827632.8814087
   12476087 | 16827137.2672119
   11347533 | 16826821.3561096
   17936437 | 16823594.7720337
   14246603 | 16818702.8417358
   10767307 | 16817165.6079712
   18716476 | 16813983.9486694
    9326151 | 16813930.7950439
    6160136 | 16812287.8545532
    8108967 | 16808897.6915283
   19098276 | 16796092.0762939
    1233819 | 16783128.7460938
    7818852 | 16781882.0137939
     113812 |  16779524.479187
   13174673 |  16772242.569458
     699717 | 16770018.3045044
    8416891 | 16763278.0634766
   19527659 | 16747773.9316406
    1013041 | 16745343.7059326
   15776021 | 16741889.5626221
   16393120 | 16732593.3851318
    9161001 | 16729572.9527588
   16237984 | 16723157.8157654
    8208889 | 16709789.4041748
   17189381 | 16703014.1821899
   14608310 | 16702586.3830566
    7811307 | 16684183.9005737
    8916544 | 16682680.0255127
     251280 | 16676648.1257019
   13657718 | 16669690.3284912
    1209061 | 16667954.1297607
    9050020 | 16665614.8670654
    8934781 | 16662204.0670776
     570837 | 16654654.5500488
   13935728 | 16632334.5454102
   19031263 | 16612475.1144409
   13668621 | 16608704.9743652
   19615938 | 16605208.2091064
   17101274 | 16584521.7112427
    3339951 |  16581021.718689
   11214632 | 16578052.7877197
    6801443 | 16571555.5693359
   18927094 | 16571402.3226318
   17613805 |  16568231.130249
    1967960 | 16563168.7653198
    6603185 | 16562124.2833252
    6777677 |  16558920.993042
    5042632 | 16557071.3959961
    2082536 | 16554379.3427734
    3067580 | 16547025.5238647
    5524945 | 16545781.1626587
     696577 | 16531054.2293701
   10203626 | 16528923.9102173
    6439363 | 16528294.9567871
   11690930 | 16523242.1971436
   18218893 | 16494805.7255859
    9189605 | 16493790.0061035
   17779852 | 16490467.6241455
   14009192 | 16488180.1996155
   10030107 | 16487248.8311768
   10924259 |  16484211.421875
    4568507 |  16483647.796875
    6724045 | 16482424.4445801
    4822522 |  16480856.784668
    3886753 | 16470727.8851318
    2817588 | 16468629.6925659
   11669985 | 16467093.4379883
   10470581 | 16456678.3708496
    2042638 | 16451211.8580933
    2015826 |  16449849.588623
     227883 | 16445802.6364746
   18844604 | 16442200.3529053
   13032089 | 16436836.2492065
    6905628 | 16436489.8352051
    3620175 | 16435513.5421753
   15379384 | 16434416.4957275
   18881633 | 16432849.3682861
   13953926 | 16432115.5048828
   18313409 | 16431592.1124268
   17212121 | 16425581.6473999
   14371685 | 16414743.3204346
   14146582 |  16409336.921875
     953845 | 16408501.3244934
    1934887 | 16406750.7057495
   18237644 | 16406332.7866821
   18431293 | 16402204.6014404
    4764440 | 16400101.8063965
    4195400 | 16398452.3473511
   16947424 | 16387559.7729492
    6796238 | 16371984.0617676
    9705121 | 16371388.7153168
    4282314 | 16368750.1328735
   19687708 | 16364063.1556396
   14328722 | 16362929.6227417
   10201599 | 16361811.1937866
    9769394 | 16360424.6397705
   18749385 | 16358398.6773682
   10300378 | 16356935.8098145
   17931849 | 16352620.0410156
    1826354 | 16345884.0946045
   10690210 | 16339869.3798828
   14290972 | 16320591.3453674
    7288967 | 16319478.0101929
    2811967 |  16318478.949707
   18791865 | 16315093.3723755
   12009817 | 16309693.4684448
   15923326 | 16308682.8896484
    4321951 | 16308329.1450195
    2319854 | 16306734.3925781
    2398696 | 16305392.2930298
    2251611 | 16303725.4307251
   16985607 | 16301432.7105713
    7025483 | 16296193.6245117
   17402832 | 16292101.4446411
   18403102 | 16283794.8615723
   14379727 | 16281171.4324951
    6017892 | 16274129.1098938
   14368939 | 16271528.2955322
   14074349 | 16269694.9259033
   14348298 | 16264857.6951294
    4387344 | 16258120.2771912
    5106379 | 16255760.8554688
   13634964 | 16250396.3470459
     425326 | 16245302.1221924
    2360556 | 16239477.7943726
   10354579 | 16238125.5351562
   10661728 | 16234792.0272217
   11561649 | 16231889.5146484
   14690967 | 16228779.8381348
   11384614 | 16226160.7614746
   18721797 | 16224345.3809814
    1177421 | 16218970.3833618
   19149351 | 16210535.5023193
   14422215 | 16206383.0258789
    2639496 | 16202349.0008545
   17174689 | 16199132.0595703
    2808662 | 16197216.4638062
   13115140 | 16182804.2692261
    8830544 | 16176508.5952148
   13252073 | 16175152.6123047
   13367894 | 16162027.5733643
    8922205 | 16161685.7653198
   13484090 | 16152480.9887695
   14983006 | 16150412.7310181
     811463 | 16142956.0291748
    7496413 | 16137797.5131226
   17253826 | 16134235.8774414
    7002024 | 16133164.6828003
    6481801 | 16123735.5262451
   13902881 | 16118390.4411621
    4264693 | 16100594.5080566
   13608035 | 16099992.7623901
    7252469 | 16097813.7876587
    4911265 | 16096517.9725952
   18711116 | 16095040.9785156
    1618242 | 16093545.8122559
   13567681 | 16091635.8163452
   14685210 | 16088686.8195801
   12826728 | 16088649.5239258
    1006008 | 16086844.4381714
    5657914 | 16086083.4127808
   10313225 | 16083523.9987793
    1320418 | 16083178.3751221
    3076279 | 16083020.2275391
   13397409 |  16082995.961792
   19686821 | 16082768.0939331
    3963979 |  16080015.670105
    5252501 | 16076265.7592773
    9882794 | 16073452.8834534
     702228 | 16073168.2025146
   10949576 | 16066295.1118164
   19294332 | 16065274.6025391
   12194259 | 16064943.0848389
    9757335 | 16053873.6309814
     333098 | 16050536.6570435
   17599637 | 16047804.8924561
   19907305 | 16047798.4419556
    6241167 | 16041281.4002686
    3755677 | 16039789.3417969
   13186478 | 16039383.8040771
    9848461 | 16039092.8034668
     717814 | 16036206.4182129
    2709560 | 16033884.8165283
    2745968 | 16031969.3311157
   12146719 | 16031760.6403809
   16514089 |  16028692.444519
    7109602 | 16025313.4469604
   12163718 |  16022953.345108
   15396466 | 16021065.8563232
    8260791 | 16020683.0588379
    5629958 | 16016336.6558838
   18546918 | 16011719.4924927
    2879952 | 16004086.3790283
     651210 | 16000777.6973877
   11461112 |  15997886.008606
   15367551 | 15997747.0499268
    9419942 | 15995209.1647949
   18751456 | 15993553.7967529
    9061969 | 15990840.7852173
     388676 | 15988843.4992065
    8740852 | 15985304.2322388
   11570166 | 15978109.8681946
   19247932 | 15969933.1881714
    8479420 | 15963918.2598877
    2963847 | 15963400.6397095
   12939336 |  15960943.289856
   16514148 | 15959771.9125366
   12779218 |  15955713.373291
   17686187 | 15954424.8707886
   12050549 | 15954411.9595947
    9357525 | 15952464.5339966
    6356648 | 15952076.3713379
   10162655 | 15950754.2437744
   16530484 | 15950472.9265137
   17035724 | 15948186.6711426
   19257500 | 15946156.5130005
   13092588 |  15941578.687439
   13706166 | 15938807.3300781
    5531321 | 15937209.9072266
   13339032 | 15929777.6611328
     280107 | 15923934.1567993
   13560566 | 15922656.8084717
   14020179 | 15921005.8502197
   13173697 | 15919400.0317383
    5273696 |  15914698.989563
   10454348 | 15914057.8430786
   10768359 | 15913046.0861816
   17504848 | 15910490.2884521
   15520100 |  15903682.977417
    9862007 | 15901952.0839844
   19019712 | 15894651.2207031
    9568370 | 15893705.8494873
    1905142 | 15891216.2920532
   12953610 | 15879809.7074585
    7374192 | 15875278.9042053
    7361395 | 15873992.1384888
    7832280 | 15870951.0073242
    9226727 |  15867490.946167
    5111046 | 15866449.8129883
   16181935 | 15866002.6449585
    3597290 | 15863497.4967651
   12903374 | 15862468.4669189
